State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Delhi,DELHI_TOTAL,Gram,2011,Rabi       ,13,72,5.54
Delhi,DELHI_TOTAL,Gram,2012,Rabi       ,44,62,1.41
Delhi,DELHI_TOTAL,Gram,2013,Rabi       ,44,62,1.41
Delhi,DELHI_TOTAL,Gram,2014,Rabi       ,41,54,1.32
Delhi,DELHI_TOTAL,Gram,2015,Rabi       ,25,53,2.12
Delhi,DELHI_TOTAL,Gram,2016,Rabi       ,25,53,2.12
Delhi,DELHI_TOTAL,Gram,2017,Rabi       ,25,10,0.4
Delhi,DELHI_TOTAL,Gram,2018,Rabi       ,2,4,2
Delhi,DELHI_TOTAL,Gram,2019,Rabi       ,2,4,2
Delhi,DELHI_TOTAL,Jowar,1998,Kharif     ,9052,4058,0.45
Delhi,DELHI_TOTAL,Jowar,1999,Kharif     ,8515,3681,0.43
Delhi,DELHI_TOTAL,Jowar,2000,Kharif     ,8625,8177,0.95
Delhi,DELHI_TOTAL,Jowar,2001,Kharif     ,8627,8140,0.94
Delhi,DELHI_TOTAL,Jowar,2002,Kharif     ,9273,4015,0.43
Delhi,DELHI_TOTAL,Jowar,2003,Kharif     ,8686,10727,1.23
Delhi,DELHI_TOTAL,Jowar,2004,Kharif     ,9208,6350,0.69
Delhi,DELHI_TOTAL,Jowar,2005,Kharif     ,8912,7843,0.88
Delhi,DELHI_TOTAL,Jowar,2006,Kharif     ,8840,8354,0.95
Delhi,DELHI_TOTAL,Jowar,2007,Kharif     ,8837,8262,0.93
Delhi,DELHI_TOTAL,Jowar,2008,Kharif     ,8238,7950,0.97
Delhi,DELHI_TOTAL,Jowar,2009,Kharif     ,3280,3168,0.97
Delhi,DELHI_TOTAL,Jowar,2010,Kharif     ,3341,3227,0.97
Delhi,DELHI_TOTAL,Jowar,2011,Kharif     ,3140,3032,0.97
Delhi,DELHI_TOTAL,Jowar,2012,Kharif     ,3319,3008,0.91
Delhi,DELHI_TOTAL,Jowar,2013,Kharif     ,3319,3008,0.91
Delhi,DELHI_TOTAL,Jowar,2014,Kharif     ,3242,2937,0.91
Delhi,DELHI_TOTAL,Jowar,2015,Kharif     ,3161,3034,0.96
Delhi,DELHI_TOTAL,Jowar,2016,Kharif     ,3193,3065,0.96
Delhi,DELHI_TOTAL,Jowar,2017,Kharif     ,3201,3035,0.95
Delhi,DELHI_TOTAL,Jowar,2018,Kharif     ,3155,3032,0.96
Delhi,DELHI_TOTAL,Jowar,2019,Kharif     ,3150,3150,1
Delhi,DELHI_TOTAL,Maize,1998,Kharif     ,165,132,0.8
Delhi,DELHI_TOTAL,Maize,1999,Kharif     ,58,42,0.72
Delhi,DELHI_TOTAL,Maize,2000,Kharif     ,55,90,1.64
Delhi,DELHI_TOTAL,Maize,2001,Kharif     ,53,95,1.79
Delhi,DELHI_TOTAL,Maize,2002,Kharif     ,94,228,2.43
Delhi,DELHI_TOTAL,Maize,2003,Kharif     ,93,184,1.98
Delhi,DELHI_TOTAL,Maize,2004,Kharif     ,82,125,1.52
Delhi,DELHI_TOTAL,Maize,2005,Kharif     ,79,144,1.82
Delhi,DELHI_TOTAL,Maize,2006,Kharif     ,67,122,1.82
Delhi,DELHI_TOTAL,Maize,2007,Kharif     ,69,126,1.83
Delhi,DELHI_TOTAL,Maize,2008,Kharif     ,54,99,1.83
Delhi,DELHI_TOTAL,Maize,2009,Kharif     ,48,1054,21.96
Delhi,DELHI_TOTAL,Maize,2010,Kharif     ,40,878,21.95
Delhi,DELHI_TOTAL,Maize,2011,Kharif     ,38,843,22.18
Delhi,DELHI_TOTAL,Maize,2012,Kharif     ,37,828,22.38
Delhi,DELHI_TOTAL,Maize,2013,Kharif     ,37,828,22.38
Delhi,DELHI_TOTAL,Maize,2014,Kharif     ,35,783,22.37
Delhi,DELHI_TOTAL,Maize,2015,Kharif     ,34,174,5.12
Delhi,DELHI_TOTAL,Maize,2016,Kharif     ,34,174,5.12
Delhi,DELHI_TOTAL,Maize,2017,Kharif     ,36,174,4.83
Delhi,DELHI_TOTAL,Maize,2018,Kharif     ,20,102,5.1
Delhi,DELHI_TOTAL,Maize,2019,Kharif     ,20,102,5.1
Delhi,DELHI_TOTAL,Other Kharif pulses,2001,Kharif     ,545,643,1.18
Delhi,DELHI_TOTAL,Other Kharif pulses,2002,Kharif     ,339,437,1.29
Delhi,DELHI_TOTAL,Other Kharif pulses,2003,Kharif     ,163,230,1.41
Delhi,DELHI_TOTAL,Other Kharif pulses,2004,Kharif     ,150,215,1.43
Delhi,DELHI_TOTAL,Other Kharif pulses,2005,Kharif     ,180,270,1.5
Delhi,DELHI_TOTAL,Other Kharif pulses,2006,Kharif     ,180,271,1.51
Delhi,DELHI_TOTAL,Other Kharif pulses,2007,Kharif     ,391,587,1.5
Delhi,DELHI_TOTAL,Potato,1998,Whole Year ,142,1048,7.38
Delhi,DELHI_TOTAL,Potato,1999,Whole Year ,157,1155,7.36
Delhi,DELHI_TOTAL,Potato,2000,Whole Year ,2487,45950,18.48
Delhi,DELHI_TOTAL,Potato,2001,Whole Year ,63,461,7.32
Delhi,DELHI_TOTAL,Potato,2002,Whole Year ,61,446,7.31
Delhi,DELHI_TOTAL,Potato,2003,Whole Year ,62,306,4.94
Delhi,DELHI_TOTAL,Potato,2005,Whole Year ,53,841,15.87
Delhi,DELHI_TOTAL,Potato,2006,Whole Year ,55,873,15.87
Delhi,DELHI_TOTAL,Potato,2007,Whole Year ,56,888,15.86
Delhi,DELHI_TOTAL,Potato,2008,Whole Year ,79,1325,16.77
Delhi,DELHI_TOTAL,Potato,2009,Whole Year ,88,21999,249.99
Delhi,DELHI_TOTAL,Potato,2010,Whole Year ,51,15862,311.02
Delhi,DELHI_TOTAL,Potato,2011,Whole Year ,48,14928,311
Delhi,DELHI_TOTAL,Potato,2012,Whole Year ,689,14652,21.27
Delhi,DELHI_TOTAL,Potato,2013,Whole Year ,689,14652,21.27
Delhi,DELHI_TOTAL,Potato,2014,Whole Year ,436,9273,21.27
Delhi,DELHI_TOTAL,Rapeseed &Mustard,2019,Rabi       ,3250,8125,2.5
Delhi,DELHI_TOTAL,Rice,1998,Kharif     ,7303,10799,1.48
Delhi,DELHI_TOTAL,Rice,1999,Kharif     ,8105,15279,1.89
Delhi,DELHI_TOTAL,Rice,2000,Kharif     ,6053,11420,1.89
Delhi,DELHI_TOTAL,Rice,2001,Kharif     ,6405,12063,1.88
Delhi,DELHI_TOTAL,Rice,2002,Kharif     ,6096,12907,2.12
Delhi,DELHI_TOTAL,Rice,2003,Kharif     ,6549,17909,2.73
Delhi,DELHI_TOTAL,Rice,2004,Kharif     ,8431,28216,3.35
Delhi,DELHI_TOTAL,Rice,2005,Kharif     ,7506,21092,2.81
Delhi,DELHI_TOTAL,Rice,2006,Kharif     ,7381,20815,2.82
Delhi,DELHI_TOTAL,Rice,2007,Kharif     ,7419,20946,2.82
Delhi,DELHI_TOTAL,Rice,2008,Kharif     ,7039,19873,2.82
Delhi,DELHI_TOTAL,Rice,2009,Kharif     ,6821,19008,2.79
Delhi,DELHI_TOTAL,Rice,2010,Kharif     ,6848,19083,2.79
Delhi,DELHI_TOTAL,Rice,2011,Kharif     ,7248,20198,2.79
Delhi,DELHI_TOTAL,Rice,2012,Kharif     ,6068,19768,3.26
Delhi,DELHI_TOTAL,Rice,2013,Kharif     ,6068,19768,3.26
Delhi,DELHI_TOTAL,Rice,2014,Kharif     ,6035,17269,2.86
Delhi,DELHI_TOTAL,Rice,2015,Kharif     ,5884,16837,2.86
Delhi,DELHI_TOTAL,Rice,2016,Kharif     ,5973,17260,2.89
Delhi,DELHI_TOTAL,Rice,2017,Kharif     ,5854,16837,2.88
Delhi,DELHI_TOTAL,Rice,2018,Kharif     ,5848,16826,2.88
Delhi,DELHI_TOTAL,Rice,2019,Kharif     ,5848,17580,3.01
Delhi,DELHI_TOTAL,Sugarcane,1998,Whole Year ,5,300,60
Delhi,DELHI_TOTAL,Sugarcane,1999,Whole Year ,4,200,50
Delhi,DELHI_TOTAL,Sugarcane,2000,Whole Year ,5,200,40
Delhi,DELHI_TOTAL,Sugarcane,2001,Whole Year ,3,200,66.67
Delhi,DELHI_TOTAL,Sugarcane,2002,Whole Year ,5,340,68
Delhi,DELHI_TOTAL,Sugarcane,2003,Whole Year ,4,293,73.25
Delhi,DELHI_TOTAL,Sugarcane,2004,Whole Year ,4,301,75.25
Delhi,DELHI_TOTAL,Sugarcane,2005,Whole Year ,4,225,56.25
Delhi,DELHI_TOTAL,Sugarcane,2006,Whole Year ,4,301,75.25
Delhi,DELHI_TOTAL,Sugarcane,2007,Whole Year ,3,276,92
Delhi,DELHI_TOTAL,Sugarcane,2008,Whole Year ,3,226,75.33
Delhi,DELHI_TOTAL,Sugarcane,2009,Whole Year ,3,226,75.33
Delhi,DELHI_TOTAL,Sugarcane,2010,Whole Year ,3,226,75.33
Delhi,DELHI_TOTAL,Sugarcane,2011,Whole Year ,3,226,75.33
Delhi,DELHI_TOTAL,Sugarcane,2012,Whole Year ,3,226,75.33
Delhi,DELHI_TOTAL,Sugarcane,2013,Whole Year ,3,226,75.33
Delhi,DELHI_TOTAL,Wheat,1998,Rabi       ,31037,107729,3.47
Delhi,DELHI_TOTAL,Wheat,1999,Rabi       ,33505,122058,3.64
Delhi,DELHI_TOTAL,Wheat,2000,Rabi       ,27836,97927,3.52
Delhi,DELHI_TOTAL,Wheat,2001,Rabi       ,26114,91660,3.51
Delhi,DELHI_TOTAL,Wheat,2002,Rabi       ,19860,79718,4.01
Delhi,DELHI_TOTAL,Wheat,2003,Rabi       ,18973,82893,4.37
Delhi,DELHI_TOTAL,Wheat,2004,Rabi       ,18695,80800,4.32
Delhi,DELHI_TOTAL,Wheat,2005,Rabi       ,18279,79404,4.34
Delhi,DELHI_TOTAL,Wheat,2006,Rabi       ,17884,77885,4.36
Delhi,DELHI_TOTAL,Wheat,2007,Rabi       ,17482,76222,4.36
Delhi,DELHI_TOTAL,Wheat,2008,Rabi       ,18430,80355,4.36
Delhi,DELHI_TOTAL,Wheat,2009,Rabi       ,21309,92480,4.34
Delhi,DELHI_TOTAL,Wheat,2010,Rabi       ,20135,87385,4.34
Delhi,DELHI_TOTAL,Wheat,2011,Rabi       ,18927,82142,4.34
Delhi,DELHI_TOTAL,Wheat,2012,Rabi       ,19450,84802,4.36
Delhi,DELHI_TOTAL,Wheat,2013,Rabi       ,19450,86498,4.45
Delhi,DELHI_TOTAL,Wheat,2014,Rabi       ,19360,85558,4.42
Delhi,DELHI_TOTAL,Wheat,2015,Rabi       ,19050,83419,4.38
Delhi,DELHI_TOTAL,Wheat,2016,Rabi       ,19622,87182,4.44
Delhi,DELHI_TOTAL,Wheat,2017,Rabi       ,19671,83419,4.24
Delhi,DELHI_TOTAL,Wheat,2018,Rabi       ,19220,82876,4.31
Delhi,DELHI_TOTAL,Wheat,2019,Rabi       ,19228,82905,4.31
Gujarat,AHMADABAD,Arhar/Tur,1997,Kharif     ,2900,2200,0.76
Gujarat,AHMADABAD,Arhar/Tur,1998,Kharif     ,3300,3100,0.94
Gujarat,AHMADABAD,Arhar/Tur,1999,Kharif     ,4400,3500,0.8
Gujarat,AHMADABAD,Arhar/Tur,2000,Kharif     ,4600,1500,0.33
Gujarat,AHMADABAD,Arhar/Tur,2001,Kharif     ,2800,1800,0.64
Gujarat,AHMADABAD,Arhar/Tur,2002,Kharif     ,3100,1900,0.61
Gujarat,AHMADABAD,Arhar/Tur,2003,Kharif     ,2600,2300,0.88
Gujarat,AHMADABAD,Arhar/Tur,2004,Kharif     ,1200,1200,1
Gujarat,AHMADABAD,Arhar/Tur,2005,Kharif     ,2000,1900,0.95
Gujarat,AHMADABAD,Arhar/Tur,2006,Kharif     ,1500,1300,0.87
Gujarat,AHMADABAD,Arhar/Tur,2007,Kharif     ,1800,2000,1.11
Gujarat,AHMADABAD,Arhar/Tur,2008,Kharif     ,1400,1400,1
Gujarat,AHMADABAD,Arhar/Tur,2009,Kharif     ,1200,1000,0.83
Gujarat,AHMADABAD,Arhar/Tur,2010,Kharif     ,1100,1100,1
Gujarat,AHMADABAD,Arhar/Tur,2011,Kharif     ,1100,1200,1.09
Gujarat,AHMADABAD,Arhar/Tur,2012,Kharif     ,1000,900,0.9
Gujarat,AHMADABAD,Arhar/Tur,2013,Kharif     ,900,770,0.86
Gujarat,AHMADABAD,Arhar/Tur,2014,Kharif     ,701,763,1.09
Gujarat,AHMADABAD,Arhar/Tur,2015,Kharif     ,1249,1535,1.23
Gujarat,AHMADABAD,Arhar/Tur,2016,Kharif     ,2346,2655,1.13
Gujarat,AHMADABAD,Arhar/Tur,2017,Kharif     ,1823,2266,1.24
Gujarat,AHMADABAD,Arhar/Tur,2018,Kharif     ,1218,1472,1.21
Gujarat,AHMADABAD,Arhar/Tur,2019,Kharif     ,417,413,0.99
Gujarat,AHMADABAD,Bajra,1997,Kharif     ,41700,43700,1.05
Gujarat,AHMADABAD,Bajra,1997,Summer     ,12200,26300,2.16
Gujarat,AHMADABAD,Bajra,1998,Kharif     ,37300,43700,1.17
Gujarat,AHMADABAD,Bajra,1998,Summer     ,11100,22600,2.04
Gujarat,AHMADABAD,Bajra,1999,Kharif     ,36600,35100,0.96
Gujarat,AHMADABAD,Bajra,1999,Summer     ,11000,23400,2.13
Gujarat,AHMADABAD,Bajra,2000,Kharif     ,36300,28400,0.78
Gujarat,AHMADABAD,Bajra,2000,Summer     ,9100,20600,2.26
Gujarat,AHMADABAD,Bajra,2001,Kharif     ,33500,37800,1.13
Gujarat,AHMADABAD,Bajra,2001,Summer     ,7900,16600,2.1
Gujarat,AHMADABAD,Bajra,2002,Kharif     ,38200,39100,1.02
Gujarat,AHMADABAD,Bajra,2002,Summer     ,2700,4400,1.63
Gujarat,AHMADABAD,Bajra,2003,Kharif     ,29300,31200,1.06
Gujarat,AHMADABAD,Bajra,2003,Summer     ,2000,4900,2.45
Gujarat,AHMADABAD,Bajra,2004,Kharif     ,13200,15700,1.19
Gujarat,AHMADABAD,Bajra,2004,Summer     ,1500,3800,2.53
Gujarat,AHMADABAD,Bajra,2005,Kharif     ,19300,15100,0.78
Gujarat,AHMADABAD,Bajra,2005,Summer     ,2900,7700,2.66
Gujarat,AHMADABAD,Bajra,2006,Kharif     ,23500,16300,0.69
Gujarat,AHMADABAD,Bajra,2006,Summer     ,1100,2800,2.55
Gujarat,AHMADABAD,Bajra,2007,Kharif     ,21200,19100,0.9
Gujarat,AHMADABAD,Bajra,2007,Summer     ,1200,3000,2.5
Gujarat,AHMADABAD,Bajra,2008,Kharif     ,15000,20700,1.38
Gujarat,AHMADABAD,Bajra,2008,Summer     ,1400,3700,2.64
Gujarat,AHMADABAD,Bajra,2009,Kharif     ,12700,14900,1.17
Gujarat,AHMADABAD,Bajra,2009,Summer     ,900,2300,2.56
Gujarat,AHMADABAD,Bajra,2010,Kharif     ,12800,18000,1.41
Gujarat,AHMADABAD,Bajra,2010,Summer     ,1800,5000,2.78
Gujarat,AHMADABAD,Bajra,2011,Kharif     ,12900,18100,1.4
Gujarat,AHMADABAD,Bajra,2011,Summer     ,3500,9000,2.57
Gujarat,AHMADABAD,Bajra,2012,Kharif     ,1700,2200,1.29
Gujarat,AHMADABAD,Bajra,2012,Summer     ,900,2300,2.56
Gujarat,AHMADABAD,Bajra,2013,Kharif     ,1665,2232,1.34
Gujarat,AHMADABAD,Bajra,2013,Summer     ,1340,3262,2.43
Gujarat,AHMADABAD,Bajra,2014,Kharif     ,1825,2160,1.18
Gujarat,AHMADABAD,Bajra,2014,Summer     ,1073,2966,2.76
Gujarat,AHMADABAD,Bajra,2015,Kharif     ,755,882,1.17
Gujarat,AHMADABAD,Bajra,2015,Summer     ,585,1722,2.94
Gujarat,AHMADABAD,Bajra,2016,Kharif     ,971,1983,2.04
Gujarat,AHMADABAD,Bajra,2016,Summer     ,675,2455,3.64
Gujarat,AHMADABAD,Bajra,2017,Kharif     ,1243,2506,2.02
Gujarat,AHMADABAD,Bajra,2017,Summer     ,717,2064,2.88
Gujarat,AHMADABAD,Bajra,2018,Kharif     ,1154,1528,1.32
Gujarat,AHMADABAD,Bajra,2018,Summer     ,1257,3598,2.86
Gujarat,AHMADABAD,Bajra,2019,Kharif     ,380,945,2.49
Gujarat,AHMADABAD,Bajra,2019,Summer     ,928,3108,3.35
Gujarat,AHMADABAD,Banana,1997,Whole Year ,200,14300,71.5
Gujarat,AHMADABAD,Banana,1998,Whole Year ,100,8000,80
Gujarat,AHMADABAD,Banana,1999,Whole Year ,100,8800,88
Gujarat,AHMADABAD,Banana,2000,Whole Year ,200,8000,40
Gujarat,AHMADABAD,Banana,2006,Whole Year ,100,1300,13
Gujarat,AHMADABAD,Banana,2007,Whole Year ,100,4000,40
Gujarat,AHMADABAD,Banana,2008,Whole Year ,100,6100,61
Gujarat,AHMADABAD,Banana,2013,Whole Year ,25,1819,72.76
Gujarat,AHMADABAD,Castor seed,1997,Whole Year ,24300,35500,1.46
Gujarat,AHMADABAD,Castor seed,1998,Kharif     ,28500,65200,2.29
Gujarat,AHMADABAD,Castor seed,1999,Kharif     ,31500,58700,1.86
Gujarat,AHMADABAD,Castor seed,2000,Kharif     ,30200,31400,1.04
Gujarat,AHMADABAD,Castor seed,2001,Kharif     ,14900,16800,1.13
Gujarat,AHMADABAD,Castor seed,2002,Kharif     ,10400,8900,0.86
Gujarat,AHMADABAD,Castor seed,2003,Kharif     ,5700,7700,1.35
Gujarat,AHMADABAD,Castor seed,2004,Kharif     ,9100,14100,1.55
Gujarat,AHMADABAD,Castor seed,2005,Kharif     ,14500,21500,1.48
Gujarat,AHMADABAD,Castor seed,2006,Kharif     ,12800,21300,1.66
Gujarat,AHMADABAD,Castor seed,2007,Kharif     ,11300,17500,1.55
Gujarat,AHMADABAD,Castor seed,2008,Kharif     ,15900,28500,1.79
Gujarat,AHMADABAD,Castor seed,2009,Kharif     ,19400,26800,1.38
Gujarat,AHMADABAD,Castor seed,2010,Kharif     ,28000,54200,1.94
Gujarat,AHMADABAD,Castor seed,2011,Kharif     ,36000,80700,2.24
Gujarat,AHMADABAD,Castor seed,2012,Kharif     ,52500,78800,1.5
Gujarat,AHMADABAD,Castor seed,2013,Kharif     ,40184,54911,1.37
Gujarat,AHMADABAD,Castor seed,2014,Kharif     ,47635,76488,1.61
Gujarat,AHMADABAD,Castor seed,2015,Kharif     ,57920,86926,1.5
Gujarat,AHMADABAD,Castor seed,2016,Kharif     ,44369,71483,1.61
Gujarat,AHMADABAD,Castor seed,2017,Kharif     ,49915,90783,1.82
Gujarat,AHMADABAD,Castor seed,2018,Kharif     ,54716,101379,1.85
Gujarat,AHMADABAD,Castor seed,2019,Kharif     ,52814,95479,1.81
Gujarat,AHMADABAD,Cotton(lint),1997,Whole Year ,154900,181500,1.17
Gujarat,AHMADABAD,Cotton(lint),1998,Kharif     ,178800,293100,1.64
Gujarat,AHMADABAD,Cotton(lint),1999,Kharif     ,151100,182700,1.21
Gujarat,AHMADABAD,Cotton(lint),2000,Kharif     ,168000,92800,0.55
Gujarat,AHMADABAD,Cotton(lint),2001,Kharif     ,182600,104500,0.57
Gujarat,AHMADABAD,Cotton(lint),2002,Kharif     ,164300,113400,0.69
Gujarat,AHMADABAD,Cotton(lint),2003,Kharif     ,168000,246300,1.47
Gujarat,AHMADABAD,Cotton(lint),2004,Kharif     ,189500,332700,1.76
Gujarat,AHMADABAD,Cotton(lint),2005,Kharif     ,170300,266100,1.56
Gujarat,AHMADABAD,Cotton(lint),2006,Kharif     ,174800,221100,1.26
Gujarat,AHMADABAD,Cotton(lint),2007,Kharif     ,185200,256900,1.39
Gujarat,AHMADABAD,Cotton(lint),2008,Kharif     ,193900,268200,1.38
Gujarat,AHMADABAD,Cotton(lint),2009,Kharif     ,220000,361200,1.64
Gujarat,AHMADABAD,Cotton(lint),2010,Kharif     ,209200,592000,2.83
Gujarat,AHMADABAD,Cotton(lint),2011,Kharif     ,221900,391600,1.76
Gujarat,AHMADABAD,Cotton(lint),2012,Kharif     ,176800,302100,1.71
Gujarat,AHMADABAD,Cotton(lint),2013,Kharif     ,177864,365249,2.05
Gujarat,AHMADABAD,Cotton(lint),2014,Kharif     ,159044,266317,1.67
Gujarat,AHMADABAD,Cotton(lint),2015,Kharif     ,131881,302016,2.29
Gujarat,AHMADABAD,Cotton(lint),2016,Kharif     ,106997,241209,2.25
Gujarat,AHMADABAD,Cotton(lint),2017,Kharif     ,105422,276885,2.63
Gujarat,AHMADABAD,Cotton(lint),2018,Kharif     ,103200,179965,1.74
Gujarat,AHMADABAD,Cotton(lint),2019,Kharif     ,113401,183140,1.61
Gujarat,AHMADABAD,Dry chillies,1997,Kharif     ,700,700,1
Gujarat,AHMADABAD,Dry chillies,1999,Whole Year ,200,200,1
Gujarat,AHMADABAD,Dry chillies,2001,Whole Year ,100,100,1
Gujarat,AHMADABAD,Dry chillies,2003,Whole Year ,100,100,1
Gujarat,AHMADABAD,Dry chillies,2005,Whole Year ,500,400,0.8
Gujarat,AHMADABAD,Dry chillies,2006,Whole Year ,200,200,1
Gujarat,AHMADABAD,Dry chillies,2007,Whole Year ,500,500,1
Gujarat,AHMADABAD,Dry chillies,2008,Whole Year ,100,100,1
Gujarat,AHMADABAD,Dry chillies,2009,Whole Year ,400,400,1
Gujarat,AHMADABAD,Dry chillies,2016,Whole Year ,41,40,0.98
Gujarat,AHMADABAD,Garlic,2010,Whole Year ,200,1100,5.5
Gujarat,AHMADABAD,Garlic,2016,Whole Year ,32,164,5.13
Gujarat,AHMADABAD,Garlic,2017,Whole Year ,10,70,7
Gujarat,AHMADABAD,Gram,1997,Rabi       ,14400,7200,0.5
Gujarat,AHMADABAD,Gram,1998,Rabi       ,12300,6500,0.53
Gujarat,AHMADABAD,Gram,1999,Rabi       ,11700,4500,0.38
Gujarat,AHMADABAD,Gram,2000,Rabi       ,2000,400,0.2
Gujarat,AHMADABAD,Gram,2001,Rabi       ,12700,4200,0.33
Gujarat,AHMADABAD,Gram,2002,Rabi       ,12100,4100,0.34
Gujarat,AHMADABAD,Gram,2003,Rabi       ,17900,7200,0.4
Gujarat,AHMADABAD,Gram,2004,Rabi       ,19200,10800,0.56
Gujarat,AHMADABAD,Gram,2005,Rabi       ,9500,6300,0.66
Gujarat,AHMADABAD,Gram,2006,Rabi       ,28800,20200,0.7
Gujarat,AHMADABAD,Gram,2007,Rabi       ,26400,14800,0.56
Gujarat,AHMADABAD,Gram,2008,Rabi       ,19600,11600,0.59
